"Title","First author","Last author","Abstract","Journal","Language","Year","Month","First Author Country","Last Author Country","DOI","DOI URL","DOI MA","Country study","Location ","Keywords","Keywords MA"
"Soil chemistry turned upside down: a meta-analysis of invasive earthworm effects on soil chemical properties","Olga Ferlian","Nico Eisenhauer","Recent studies have shown that invasive earthworms can dramatically reduce native biodiversity, both above and below the ground. However, we still lack a synthetic understanding of the underlying mechanisms behind these changes, such as whether earthworm effects on soil chemical properties drive such relationships. Here, we investigated the effects of invasive earthworms on soil chemical properties (pH, water content, and the stocks and fluxes of carbon, nitrogen, and phosphorus) by conducting a meta‐analysis. Invasive earthworms generally increased soil pH, indicating that the removal of organic layers and the upward transport of more base‐rich mineral soil caused a shift in soil pH. Moreover, earthworms significantly decreased soil water content, suggesting that the burrowing activities of earthworms may have increased water infiltration of and/or increased evapotranspiration from soil. Notably, invasive earthworms had opposing effects on organic and mineral soil for carbon and nitrogen stocks, with decreases in organic, and increases in mineral soil. Nitrogen fluxes were higher in mineral soil, whereas fluxes in organic soil were not significantly affected by the presence of invasive earthworms, indicating that earthworms mobilize and redistribute nutrients among soil layers and increase overall nitrogen loss from the soil. Invasive earthworm effects on element stocks increased with ecological group richness only in organic soil. Earthworms further decreased ammonium stocks with negligible effects on nitrate stocks in organic soil, whereas they increased nitrate stocks but not ammonium stocks in mineral soil. Notably, all of these results were consistent across forest and grassland ecosystems underlining the generality of our findings. However, we found some significant differences between studies that were conducted in the field (observational and experimental settings) and in the lab, such as that the effects on soil pH decreased from field to lab settings, calling for a careful interpretation of lab findings. Our meta‐analysis provides strong empirical evidence that earthworm invasion may lead to substantial changes in soil chemical properties and element cycling in soil. Furthermore, our results can help explain the dramatic effects of invasive earthworms on native biodiversity, for example, shifts towards the dominance of grass species over herbaceous ones, as shown by recent meta‐analyses.","Ecology (Ecological Society of Amercica)","en",2020,"Aug","Germany","Germany","10.1002/ecy.2936","https://doi.org/10.1002/ecy.2936","10.1002/ecy.2936","USA","Various","ammonium;earthworm ecological group;element flux;exotic earthworms;nitrate;nitrification;nitrogen;nutrient cycling;pH;phosphorus;soil carbon;water content ","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"Effect of earthworm addition on soil nitrogen availability, microbial biomass and litter decomposition in mesocosms.","Yelinda Araujo","Eleusa Barros","The aim of the study was to determine the effect of adding two tropical earthworm species, Rhinodrilus contortus and Pontoscolex corethrurus, to mesocosms on the availability of mineral N (NH4 + and NO3 − concentrations), soil microbial biomass (bio-N), and the decomposition rates of three contrasting leaf litter species, in a glasshouse experiment. The mesocosms were filled with forest soil and covered with a layer of leaf litter differing in nutritional quality: (1) Hevea brasiliensis (C/N=27); (2) Carapa guianensis (C/N=32); (3) Vismia sp., the dominant tree species in the second growth forest (control, C/N= 42); and, (4) a mixture of the former three leaf species, in equal proportions (C/N=34). At the end of the 97-day experiment, the soil mineral N concentrations, bio-N, and leaf litter weight loss were determined. Both earthworm species showed significant effects on the concentrations of soil NO3 − (p0.01) and NH4 + (p0.05). Bio-N was always greater in the mesocosms with earthworms (especially with R. contortus) and in the mesocosms with leaf litter of H. brasiliensis (6 µg N g−1 soil), the faster decomposing species, than in the other treatments (0.1–1.6 µg N g−1). Thus, earthworm activity increased soil mineral-N concentrations, possibly due to the consumption of soil microbial biomass, which can speed turnover and mineralization of microbial tissues. No significant differences in decomposition rate were found between the mesocosms with and without earthworms, suggesting that experiments lasting longer are needed to determine the effect of earthworms on litter decomposition rates.","Biology and fertility of soils ","en",2003,"Jan","Venezuela","Brazil","10.1007/s00374-003-0696-0","http://dx.doi.org/10.1007/s00374-003-0696-0  ","10.1002/ecy.2936","Brazil","Amazonia","Earthworms;Nitrogen mineralization;Litter decomposition process;Amazonia","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"A review of earthworm impact on soil function and ecosystem services.","M. Blouin","J.‐J. Brun","Biodiversity is responsible for the provision of many ecosystem services; human well‐being is based on these services, and consequently on biodiversity. In soil, earthworms represent the largest component of the animal biomass and are commonly termed ‘ecosystem engineers’. This review considers the contribution of earthworms to ecosystem services through pedogenesis, development of soil structure, water regulation, nutrient cycling, primary production, climate regulation, pollution remediation and cultural services. Although there has been much research into the role of earthworms in soil ecology, this review demonstrates substantial gaps in our knowledge related in particular to difficulties in identifying the effects of species, land use and climate. The review aims to assist people involved in all aspects of land management, including conservation, agriculture, mining or other industries, to obtain a broad knowledge of earthworms and ecosystem services.","European Journal of Soil Science (EJSS)","en",2013,"Feb","France","France","10.1111/ejss.12025","http://dx.doi.org/10.1111/ejss.12025","10.1002/ecy.2936","England","South of England ","Earthworms;soil;water ragulation;ecosystem services;remediation","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"Ecosystem consequences of exotic earthworm invasion of north temperate forests.","Patrick J. Bohlen","Robert T. Fahey","The invasion of north temperate forests by exotic species of earthworms is an important issue that has been overlooked in the study and management of these forests. We initiated research to address the hypothesis that earthworm invasion will have large consequences for nutrient retention and uptake in these ecosystems. In this special feature of Ecosystems, we present five papers describing results from our experiment. In this paper, we (a) introduce our experimental approach and conceptual model of how earthworms influence forest ecosystem processes, (b) describe the characteristics of the study areas and earthworm communities at our two study locations, and (c) provide a brief overview and synthesis of the main findings. The most dramatic effect of earthworm invasion was the loss of the forest floor at an undisturbed forest site, which altered the location and nature of nutrient cycling activity in the soil profile. Invasion changed soil total carbon (C) and phosphorus (P) pools, carbon–nitrogen (C:N) ratios, the loss and distribution of different soil P fractions, and the distribution and function of roots and microbes. Response to invasion varied with site characteristics and earthworm species. Our results suggest that exotic earthworm invasion is a significant factor that will influence the structure and function of northern temperate forest ecosystems over the next few decades. Regional evaluations of these forests will need to consider the presence or absence of earthworms along with other important ecosystem drivers, such as pollution, climate, and underlying soil characteristics.","Ecosystems ","en",2004,"Jan","USA","USA","10.1007/s10021-003-0126-z","http://dx.doi.org/10.1007/s10021-003-0126-z","10.1002/ecy.2936","USA","New York state","exotic species;invasions;carbon;nitrogen;phosphorus;roots;nutrient cycling;forest","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"Non-native invasive earthworms as agents of change in northern temperate forests.","Patrick J. Bohlen","D. Parkinson","Exotic earthworms from Europe and Asia are invading many northern forests in North America that currently lack native earthworms, providing an opportunity to assess the role of this important group of invertebrates in forest ecosystems. Research on earthworm invasions has focused on changes in soil structure and carbon (C) and nitrogen (N) cycling that occur following invasion. These changes include the mixing of organic and mineral soil horizons, decreases in soil C storage, and equivocal effects on N cycling. Less well studied are changes in the soil foodwebs that accompany earthworm invasion. Soils of north temperate forests harbor a tremendous diversity of microorganisms and invertebrates, whose distribution and abundance can be substantially altered by earthworm invasion. Furthermore, invasive earthworms can affect understory plant communities, raising concerns over the loss of rare native herbs in some areas. The ecological consequences of earthworm invasion are mediated through physical, geochemical, and biological effects. These effects vary with different earthworm species, as well as with the characteristics of the site being invaded. Earthworm invasions may have important interactions with other rapid changes predicted for northern forests in the coming decades, including climate and land-use change, increased nutrient deposition, and other biological invasions.","Frontiers in Ecology and Environnement","en",2004,"Oct","USA","Belgium","10.1890/1540-9295(2004)002[0427:NIEAAO]2.0.CO;2","https://doi.org/10.1890/1540-9295(2004)002[0427:NIEAAO]2.0.CO;2","10.1002/ecy.2936","USA","Northern forests, North America.","N/A","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"Protection of soil carbon by microaggregates within earthworm casts.","Heleen Bossuyt","Paul F. Hendrix","Earthworms are known to play a role in aggregate formation and soil organic matter (SOM) protection. However, it is still unclear at what scale and how quickly earthworms manage to protect SOM. We investigated the effects of Aporrectodea caliginosa on aggregation and aggregate-associated C pools using 13C-labeled sorghum (Sorghum bicolor (L.) Moench) leaf residue. Two incubations were set up. The first incubation consisted of soil samples crushed &lt;250 μm to break up all macroaggregates with three treatments: (i) control soil; (ii) soil+13C-labeled residue and (iii) soil+13C-labeled residue+earthworms. Earthworms were added after 8 d and 12 d (days) later, aggregate size distribution was measured together with total C and 13C in each aggregate fraction. A second incubation was made to assay protected versus unprotected total C and 13C from 21-d laboratory incubations of intact and crushed large (&gt;2000 μm) and small (250–2000 μm) macroaggregates and microaggregates (53–250 μm). Eight different pools of aggregate-associated C were quantified: (1) and (2) unprotected C pools in large and small macroaggregates, (3) unprotected C pools in microaggregates, (4) and (5) protected C pools in large and small macroaggregates, (6) protected C pool in microaggregates, and (7) and (8) protected C pools in microaggregates within large and small macroaggregates. In the presence of earthworms, a higher proportion of large macroaggregates was newly formed and these aggregates contained more C and 13C compared to bulk soil. There were no significant differences between the samples with or without earthworms in the C pool-sizes protected by macroaggregates, microaggregates or microaggregates within small macroaggregates. However, in the presence of earthworms, the C protected by microaggregates within large macroaggregates was a significant pool and 22% of this C pool was newly added C. In conclusion, these results clearly indicate the direct involvement of earthworms in providing protection of soil C in microaggregates within large macroaggregates leading to a possible long-term stabilization of soil C.","Soil Biology and Biochemistry","en",2005,"Feb","Belgium","Georgia","10.1016/j.soilbio.2004735"," https://doi.org/10.1016/j.soilbio.2004.07.035 ","10.1002/ecy.2936","Greece","Horseshoe Bend, near Athens","Aggregation;Microaggregates;Carbon;Earthworms;Carbon protection","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"Strategies lombriciennes","M. B. Bouché","M. B. Bouché","An earthworm classification in ecological categories based on morphological features (organs showing functional adaptations) on spatial distribution, on soil humidity and on feeding habits was introduced in 1969 for didactic reasons. Subsequently, this classification has proved to be a powerful tool of ecological synthesis. It distinguishes three extreme types of adaptative evolution (endogeous forms, epigeous forms, anecics); their definitions are completed. They are three poles between which earthworms could be put in order. According to the past (which involves some evolutionary ways), and the level of adaptation into a site (new or old settelments) there is congruence between earthworm features (feeding habits, reproduction, extreme factor resistances, mobility, size, respiration, demography, behaviour, predator pressures, etc.) and their environment (available niches, food, humidity, etc.). Ecological categories are the traduction of evolutionary earthworm strategies and all bioecological features. The morpho-functional interpretation, always feasible, and some ecological, biological, physiological measurements made in favorable circumstances validate this classification. This holistic classification provides the opportunity to judge the relative adaptation of a monospecific local population to its environment. Among such adaptations a new making of resistance of earthworms is described: the ""enkystment"" by cocoons.","Ecological Bulletins","fr",1977,"N/A","France","France","10.1016/0012-8252(87)90008-0","http://dx.doi.org/10.1016/0012-8252(87)90008-0","10.1002/ecy.2936","France","France","N/A","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"How do earthworms affect microfloral and faunal community diversity?","George G. Brown","George G. Brown","Much of the work regarding earthworm effects on other organisms has focused on the functional significance of microbial-earthworm interactions, and little is known on the effects of earthworms on microfloral and faunal diversity. Earthworms can affect soil microflora and fauna populations directly and indirectly by three main mechanisms: (1) comminution, burrowing and casting; (2) grazing; (3) dispersal. These activities change the soil's physico-chemical and biological status and may cause drastic shifts in the density, diversity, structure and activity of microbial and faunal communities within the drilosphere. Certain organisms and species may be enhanced, reduced or not be affected at all depending on their ability to adapt to the particular conditions of different earthworm drilospheres. A large host of factors (including CaCO3, enzymes, mucus and antimicrobial substances) influence the ability of preferentially or randomly ingested organisms to survive (or not) passage through the earthworm gut, and their resultant capacity to recover and proliferate (or not) in earthworm casts. Small organisms, particularly microflora and microfauna, with limited ability to move within the soil, may benefit from the (comparatively) long ranging movements of earthworms. Microflora and smaller fauna appear to be particularly sensitive to earthworm activities, and priming effects enhancing nutrient release, particularly in casts, are common. Larger fauna such as microarthropods, enchytraeids and Isopods may be enhanced under some conditions (e.g., in earthworm middens), but in other cases earthworm activity may lead to a decrease in their populations due to competition for food (microbes and organic materials), and spatial and temporal changes in food abundance. Nevertheless, considering the presently available data, the beneficial interactions of earthworms and microflora and fauna appear to far outweigh the potential negative effects. However, much is still unknown regarding the interactions of earthworms of different ecological categories on the diversity and function of microfloral and faunal communities, and much more interdisciplinary research is needed to assess the potential role of earthworms in regulating the diversity of microflora and fauna in soil systems and the potentially beneficial or harmful effects this regulation may have on ecosystem function and plant growth in different ecosystems.","Plant and soil ","en",1995,"Jan","Brazil ","Brazil ","10.1007/978-94-011-0479-1_22","http://dx.doi.org/10.1007/978-94-011-0479-1_22","10.1002/ecy.2936","USA","MICHIGAN STATE UNIV, E LANSING, MI","diversity;earthworms;soil fauna;soil microflora;soil processes","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"Carbon and nitrogen mobilisation by earthworms of different functional groups as affected by soil sand content.","O. Butenschoen","S. Scheu","Earthworms play an important role in organic matter processing and nutrient cycling in temperate ecosystems. It is known that earthworms preferentially ingest sand grains mixed with organic material and it has been suggested that the mixture of sand and organic material during the gut passage may play an important role in litter degradation and nutrient release, which may accelerate assimilation of nutrients by earthworms and likely enhance plant growth. In a greenhouse experiment, we investigated the effect of the anecic earthworm species emLumbricus terrestris and the endogeic earthworm species emOctolasion tyrtaeum separately and in combination on carbon and nitrogen mobilisation from surface applied rye litter labelled with 13 and 15. By mixing arable soil with 25% sand, we investigated the effect of the availability of sand. To quantify the mobilisation of 15N, three rye seedlings were planted in each microcosm and analysed for isotope signature after 3 months of incubation. Mobilisation of 13C was quantified by analysing the incorporation of label into the soil and earthworm tissue.Irrespective of the addition of sand the biomass of emL. terrestris decreased during the experiment, whereas that of emO. tyrtaeum increased in single species treatment and slightly decreased in the combined treatment with emL. terrestris. The concentration of 13C decreased while that of 15N increased in the tissue of both earthworm species, with the effect being more pronounced in emL. terrestris for 13C and in emO. tyrtaeum for 15N. Both earthworm species increased shoot biomass, with the effect of emL. terrestris (+80%) exceeding that of emO. tyrtaeum (+28%) and maximum plant biomass in the combined treatment (+92%). Earthworms did not affect the 15N concentration of rye plants, but sand significantly increased 15N concentration of plants, presumably due to improving soil structure. Overall, the incorporation of 13C into the soil was low and was significantly increased in presence of sand, with the highest enrichment in treatments without earthworms.The results indicate that the availability of sand does not increase effects of earthworms on litter degradation, nutrient release and plant growth. Rather, independent of soil sand content earthworms increase plant growth, whereas the presence of sand itself enhances the uptake of nitrogen from plant litter and the incorporation of litter carbon into the soil.","Pedobiologia","en",2009,"Jan","Germany","Germany","10.1016/j.pedobi.2008.1101","https://doi.org/10.1016/j.pedobi.2008.11.001","10.1002/ecy.2936","Germany","Bad Lauchstädt","Stable isotopes;Soil organic matter;N-mobilisation;Lumbricidae ","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"Burrow systems of endogeic earthworms: Effects of earthworm abundance and consequences for soil water infiltration.","Yvan Capowiez","Eric Michel","By creating burrows, earthworms influence the transfer properties of soils. The effects of endogeic species on soil transfer properties, however, are not yet well understood because these earthworms generally create burrows that are refilled by casts and have no preferential vertical orientation. Thirty soil cores were incubated for various periods (1-3 or 4 weeks) at different earthworm densities (70, 210,345 or 480 individuals m(-2)). The cores were then scanned using X-ray tomography and the burrow systems were characterised by measuring the total burrow volume, bioturbation volume (refilled burrows and lateral compaction around the burrows), the number of branches, tortuosity and continuity (assessed by computing the number of burrows with a vertical extension greater than 15, 20 and 25% of the core). We also computed the mean geodesic distance, i.e. the mean distance from the bottom to the top of the core assuming that distances inside burrows are null. Rainfall simulations were carried out on 17 cores chosen to encompass the variations observed in the burrow systems. The water transfer efficiency of each core was estimated by measuring two parameters: breakthrough volume and the percentage of water transmitted after 1 h of rain. Burrow and bioturbation volume increased significantly and steadily with time and earthworm density. We estimated that on average Allolobophora chlororica burrowed 22 cm per week. All other burrow system characteristics also increased with time and earthworm density except the mean geodesic distance, which decreased significantly. This suggests that intraspecific interactions had no significant effect on burrow system geometry. Univariate PLS regressions were used to understand which burrow system characteristics had the strongest influence on water transfer. These regressions showed that the mean geodesic distance was the most important parameter. This means that in addition to individual burrow characteristics, the spatial arrangement of the whole burrow system also had a major effect on transfer properties. ","Pedobiologia","en",2014,"N/A","France","France","10.1016/j.pedobi.2014401","https://doi.org/10.1016/j.pedobi.2014.04.001","10.1002/ecy.2936","France","Avignon ","Bioturbation;X-ray tomography;Allolobophora chlorotica;Rainfall simulation;Burrow continuity;burrow connectivity ","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
