"Title","First author","Last author","Abstract","Journal","Language","Year","Month","First Author Country","Last Author Country","DOI","DOI URL","DOI MA","Country study","Location ","Keywords","Keywords MA"
"Earthworms affect plant growth and resistance against herbivores: A meta-analysis","Zhenggao Xiao","Sergio Rasmann","Subterranean detritivores such as earthworms can increase soil nutrient availability through their burrowing and casting activities. A number of recent studies have explored whether these changes caused by earthworms may in turn affect plant performance and resistance to herbivores, but no formal synthesis of this literature has been conducted to date.We tested for the effects of earthworms on plant growth, resistance and chemical defences against insect herbivores by performing a meta‐analysis of the existing literature up to 2016. We also explored ecological factors that might explain among‐studies variation in the magnitude of the earthworm effects on plant growth and resistance.We found that earthworm presence increases plant growth (by 20%) and nitrogen content (by 11%). Overall, earthworms did not affect plant resistance against chewing herbivores (caterpillars, slugs and rootworms), and even led to a 22% decrease in plant resistance against phloem‐feeding herbivores (aphids). However, earthworm presence increased production of chemical defences by 31% when plants where attacked by cell‐feeders (thrips), and resulted in an 81% increase in resistance against thrips. The magnitude of earthworm effects was stronger when earthworm inoculations consisted of a mix of species and ecological types, and when densities of earthworms were high.These results suggest that earthworm presence is an important factor underlying natural variation in plant defences against herbivores, and call for a better integration of the soil fauna in the studies of plant‐herbivore interaction, both for applied and fundamental research.","FUNCTIONAL ECOLOGY ","en",2017,"Nov","China","France","10.1111/1365-2435.12969","http://dx.doi.org/10.1111/1365-2435.12969","10.1111/1365-2435.12969","Various (meta-analysis)","Various"," detritivore diversity;endogeic earthworms;herbivore-feeding guilds;meta-analysis;plant growth-defence trade-off;plant nutrients;plant resistance"," detritivore diversity; endogeic earthworms; herbivore-feeding guilds; meta-analysis; plant growth-defence trade-off; plant nutrients; plant resistance."
"The mineral nutrition of wild plants revisited: A re-evaluation of processes and patterns.","R. Aerts","F.S. Chapin","In this chapter, the advances that have been made in understanding the ecology of the mineral nutrition of wild plants from terrestrial ecosystems have been reviewed. This chapter is organized along three lines. First, the issues of nutrient-limited plant growth and nutrient uptake, with special emphasis on the importance of the uptake of nutrients in organic form—both by mycorrhizal and by non-mycorrhizal plants—and the importance of symbiotic nitrogen fixation is treated. In addition, the influence of allocation patterns on mineral nutrient uptake is described. Next, a few of the nutritional aspects of leaf functioning and how nutrients are used for biomass production by the plant are explored. That is done by studying the nutrient use efficiency (NUE) of plants and the various components of NUE. Finally, the feedback of plant species to soil nutrient availability by reviewing patterns in litter decomposition and nutrient mineralization is investigated. The chapter concludes with a synthesis of the various aspects of the mineral nutrition of wild plants. The chapter ends with a conceptual description of plant strategies with respect to mineral nutrition (Publisher summary).","ADVANCES IN ECOLOGICAL RESEARCH ","en",2000,"Jan","The Netherlands","France","10.1016/s0065-2504(08)60016-1","http://dx.doi.org/10.1016/s0065-2504(08)60016-1","10.1111/1365-2435.12969","Wordlwide (« terrestrial ecosystems »)","Various","Keywords + : NUTRIENT-USE EFFICIENCY;RELATIVE GROWTH-RATE;NITROGEN USE EFFICIENCY;SIMULATED ENVIRONMENTAL-CHANGE;LEAF-LITTER DECOMPOSITION;ABOVE-GROUND PRODUCTIVITY;ALASKAN TUSSOCK TUNDRA;LIFE-SPANERIOPHORUM-VAGINATUM;CHEMICAL-COMPOSITION"," detritivore diversity; endogeic earthworms; herbivore-feeding guilds; meta-analysis; plant growth-defence trade-off; plant nutrients; plant resistance."
"Macroevolution of plant defense strategies.","Anurag A. Agrawal","Anurag A. Agrawal","Theories of plant defense expression are typically based on the concepts of tradeoffs among traits and of phylogenetic conservatism within clades. Here, I review recent developments in phylogenetic approaches to understanding the evolution of plant defense strategies and plantherbivore coevolutionary interactions. I focus particularly on multivariate defense against insect herbivores, which is the simultaneous deployment of multiple traits, often arranged as convergently evolved defense syndromes. Answering many of the outstanding questions in the biology of plant defense will require generating broad hypotheses that can be explicitly tested by using comparative approaches and interpreting phylogenetic patterns. The comparative approach has wide-spread potential to reinvigorate tests of classic hypotheses about the evolution of interspecific interactions.","TRENDS IN ECOLOGY & EVOLUTION","en",2007,"Feb","USA","USA","10.1016/j.tree.2006.1012","https://doi.org/10.1016/j.tree.2006.10.012","10.1111/1365-2435.12969","Brazil","Amazonian forests","Keywords + : HABITAT SPECIALIZATION;SECONDARY METABOLITES;ADAPTIVE RADIATION;AMAZONIAN FORESTS;CHEMICAL DEFENSE;YOUNG LEAVES;TRADE-OFFS;HOST SHIFT;HERBIVORES;EVOLUTION"," detritivore diversity; endogeic earthworms; herbivore-feeding guilds; meta-analysis; plant growth-defence trade-off; plant nutrients; plant resistance."
"Earthworm functional traits and interspecific interactions affect plant nitrogen acquisition and primary production.","Walter S. Andriuzzi","Thomas Bolger","We performed a greenhouse experiment to test how the functional diversity of earthworms, the dominant group of soil macro-invertebrates in many terrestrial ecosystems, affects nitrogen cycling and plant growth. Three species were chosen to represent a range of functional traits: Lumbricus terrestris (large, mainly detritivorous, makes vertical permanent burrows open at the surface), Aporrectodea longa (medium-large, feeds on both detritus and soil, makes burrows more branched than L. terrestris), and Allolobophora chlorotica (small, geophagous, makes ephemeral burrows below the soil surface). Mesocosms with ryegrass (Lolium perenne) were inoculated with none to all three species (similar total biomass), using an experimental design (Simplex) suited to partition single species and diversity effects. Two contrasting N sources, urea or mammalian dung, were labelled with N-15 so that the acquisition by plants and earthworms and recovery of applied N-15 could be estimated.  Over 3 months, plant production was higher with urea applications, but there were also species-specific earthworm effects: A. chlorotica and, to a lesser extent, A. longa increased shoot biomass, whereas L. terrestris increased root biomass. Earthworms did not affect soil N concentrations or leaching losses, whereas more N was leached under urea. A. chlorotica tended to increase dung-N-15 recovery in grass shoots, but in interaction with A. longa had the opposite effect, possibly through increased N immobilization in the microbial biomass. Earthworms assimilated negligible amounts of urea-N-15 but a substantial proportion (17% on average) of the dung-N-15, with no clear-cut differences between species. Our findings show that earthworm species may have similar trophic response to N sources and yet different effects on plant N uptake and primary production, and that inter-specific earthworm interactions can result in non-additive diversity effects. (C) 2015 Elsevier B.V. All rights reserved.","APPLIED SOIL ECOLOGY","en",2016,"Aug","USA","Ireland","10.1016/j.apsoil.2015906","https://doi.org/10.1016/j.apsoil.2015.09.006","10.1111/1365-2435.12969","Ireland","UCD School of Biology and Environmental Science (Dublin)","Diversity-function relationship;Lumbricidae;Nitrogen uptake;Primary production;Species interaction;Stable isotope tracer "," detritivore diversity; endogeic earthworms; herbivore-feeding guilds; meta-analysis; plant growth-defence trade-off; plant nutrients; plant resistance."
"Potential impact of soil microbiomes on the leaf metabolome and on herbivore feeding behavior.","Dayakar V. Badri","Jorge M. Vivanco","It is known that environmental factors can affect the biosynthesis of leaf metabolites. Similarly, specific pairwise plant–microbe interactions modulate the plant's metabolome by stimulating production of phytoalexins and other defense‐related compounds. However, there is no information about how different soil microbiomes could affect the plant growth and the leaf metabolome.We analyzed experimentally how diverse soil microbiomes applied to the roots of Arabidopsis thaliana were able to modulate plant growth and the leaf metabolome, as assessed by GC‐MS analyses. Further, we determined the effects of soil microbiome‐driven changes in leaf metabolomics on the feeding behavior of Trichopulsia ni larvae.Soil microbiomes differentially impacted plant growth patterns as well as leaf metabolome composition. Similarly, most microbiome‐treated plants showed inhibition to larvae feeding, compared with unamended control plants. Pyrosequencing analysis was conducted to determine the soil microbial composition and diversity of the soils used in this study.Correlation analyses were performed to determine relationships between various factors (soil microbial taxa, leaf chemical components, plant growth patterns and insect feeding behavior) and revealed that leaf amino acid content was positively correlated with both microbiome composition and insect feeding behavior.","NEW PHYTOLOGIST ","en",2013,"Apr","USA","USA","10.1111/nph.12124","http://dx.doi.org/10.1111/nph.12124","10.1111/1365-2435.12969","USA, France, Sweden","Toulon, Revinghed, Portage, Fort Collins, Poudre Park, Camp Sherman, Hooper, Blanca, Monte Vista.","Arabidopsis;insect feeding;leaf metabolome;plant growth;soil microbiomes "," detritivore diversity; endogeic earthworms; herbivore-feeding guilds; meta-analysis; plant growth-defence trade-off; plant nutrients; plant resistance."
"Experimental evidence that soil fauna enhance nutrient mineralization and plant nutrient uptake in montane grassland ecosystems.","Richard D Bardgett","Kin F Chan","This microcosm study is concerned with understanding those factors which regulate ecosystem processes of nutrient cycling and plant productivity in a montane grassland ecosystem. We examined the effects of different groups of soil fauna, namely bacterial-feeding nematodes and Collembola, on nutrient mineralization (N and P) in an acid, organic soil taken from a montane grassland in the Peak District National Park, United Kingdom. We also examined whether faunal influences on nutrient release, a measure of nutrient mineralization, resulted in changes in nutrient uptake and biomass production of an indigenous montane grass species (Nardus stricta (L.)). We found that in the presence of Collembola, and when nematodes and Collembola were combined, N mineralization, nutrient leaching and shoot N contents of N. stricta was significantly increased relative to a defaunated control. We also found that net P mineralization and leaching increased (although not significantly) in the presence of both nematodes and Collembola, resulting in a significant increase in shoot P content of N. stricta. The presence of nematodes alone, which were largely bacterial-feeders, had no effect on the mineralization of N or P, or shoot nutrient content. We suggest that differences in the effect of faunal treatments on nutrient mineralization are related to the feeding strategies of the added fauna, and to their consequent effect on the size of the soil microbial biomass. The treatments that increased N mineralization and plant nutrient content (N and P) also significantly reduced plant growth (shoot and root). We suggest that high NH4+-N concentrations in the soil solution of Collembola treatments inhibited the growth of N. stricta and that the growth of other grassland species may benefit from this improvement in nutrient availability. ","SOIL BIOLOGY & BIOCHEMISTRY ","en",1999,"Jul","England ","Canada","10.1016/s0038-0717(99)00014-0","http://dx.doi.org/10.1016/s0038-0717(99)00014-0","10.1111/1365-2435.12969","UK","Peak District National Park, United Kingdom","Keywords + : MICROBIAL BIOMASS;EXTRACTION METHOD;MICROCOSM EXPERIMENT;LEAF LITTER;FOOD-WEB;NITROGEN;RESPIRATION;COLLEMBOLA;MANAGEMENT;BACTERIA"," detritivore diversity; endogeic earthworms; herbivore-feeding guilds; meta-analysis; plant growth-defence trade-off; plant nutrients; plant resistance."
"Using meta-regression to explore moderating effects in surveys of international achievement.","T. Benton ","T. Benton ","This article demonstrates how meta-analytic techniques, that have typically been used to synthesize findings across numerous studies, can also be applied to examine the reasons why relationships between background characteristics and outcomes may vary across different locations in a single multi-site survey. This application is particularly relevant to the analysis of data from international surveys of student achievement. A brief introduction to the method of meta-regression is provided and the technique is demonstrated in an analysis of the extent to which the relationship between school autonomy and achievement varies depending upon the level of accountability in a country. The results show that the meta-regression approach to analysis is more accurate than combining data across all countries into a single simple model."," Practical Assessment, Research, and Evaluation","en",2014,"Jan","England ","England ","10.1111/j950-0804.20050249.x","https://doi.org/10.7275/2wnr-h361","10.1111/1365-2435.12969","N/A ","N/A ","Using meta-regression to explore moderating effects in surveys of international achievement"," detritivore diversity; endogeic earthworms; herbivore-feeding guilds; meta-analysis; plant growth-defence trade-off; plant nutrients; plant resistance."
"Earthworm services for cropping systems.","Michel Bertrand","Jean Roger-Estrade","Abstract : Intensive agriculture is often criticized for negative impacts on environment and human health. This issue may be solved by a better management of organisms living in crop fields. Here, we review the benefits of earthworms for crops, and we present techniques to increase earthworm abundance. The major points are the following: (1) Earthworms usually improve soil structural stability and soil porosity and reduce runoff. (2) Earthworms modify soil organic matter (SOM) and nutrient cycling. Specifically, earthworms stabilize SOM fractions within their casts, and they also increase the mineralization of organic matter in the short term by altering physical protection within aggregates and enhancing microbial activity. (3) The positive correlation between earthworm abundance and crop production is not systematic, and contrasting effects on yields have been observed. Earthworms induce the production of hormone-like substances that improve plant growth and health. (4) Direct drilling increases earthworm abundance and species diversity, but the beneficial effect of reduced tillage depends upon the species present and tillage intensity. (5) Organic amendments enhance earthworm abundance. (6) Earthworms feeding at soil surface are the most exposed to pesticides and other agrochemicals. Finally, we discuss how to combine management practices, including inoculation, to increase the earthworm services. We conclude that using earthworm services in cropping systems has potential to boost agricultural sustainability.","AGRONOMY FOR SUSTAINABLE DEVELOPMENT ","en",2015,"Apr","France","France","10.1007/s13593-014-0269-7","http://dx.doi.org/10.1007/s13593-014-0269-7","10.1111/1365-2435.12969","N/A ","N/A ","Earthworms;Tillage;Pesticides;Mineralization;Belowground-aboveground interactions;Soil structure;Crop pathogens and parasites;Ecosystem services "," detritivore diversity; endogeic earthworms; herbivore-feeding guilds; meta-analysis; plant growth-defence trade-off; plant nutrients; plant resistance."
"Role of earthworms in soil fertility maintenance through the production of biogenic structures.","Tunira Bhadauria","Krishan Gopal Saxena","Abstract : The soil biota benefits soil productivity and contributes to the sustainable function of all ecosystems. The cycling of nutrients is a critical function that is essential to life on earth. Earthworms (EWs) are a major component of soil fauna communities in most ecosystems and comprise a large proportion of macrofauna biomass. Their activity is beneficial because it can enhance soil nutrient cycling through the rapid incorporation of detritus into mineral soils. In addition to this mixing effect, mucus production associated with water excretion in earthworm guts also enhances the activity of other beneficial soil microorganisms. This is followed by the production of organic matter. So, in the short term, a more significant effect is the concentration of large quantities of nutrients (N, P, K, and Ca) that are easily assimilable by plants in fresh cast depositions. In addition, earthworms seem to accelerate the mineralization as well as the turnover of soil organic matter. Earthworms are known also to increase nitrogen mineralization, through direct and indirect effects on the microbial community. The increased transfer of organic C and N into soil aggregates indicates the potential for earthworms to facilitate soil organic matter stabilization and accumulation in agricultural systems, and that their influence depends greatly on differences in land management practices. This paper summarises information on published data on the described subjects.","Applied and Environmental Soil Science ","en",2010,"Dec","India","India","10.1155/2010/816073","http://dx.doi.org/10.1155/2010/816073","10.1111/1365-2435.12969","Worldwide","« All ecosystems »","N/A"," detritivore diversity; endogeic earthworms; herbivore-feeding guilds; meta-analysis; plant growth-defence trade-off; plant nutrients; plant resistance."
"A review of earthworm impact on soil function and ecosystem services.","M. Blouin","J.‐J. Brun","Biodiversity is responsible for the provision of many ecosystem services; human well‐being is based on these services, and consequently on biodiversity. In soil, earthworms represent the largest component of the animal biomass and are commonly termed ‘ecosystem engineers’. This review considers the contribution of earthworms to ecosystem services through pedogenesis, development of soil structure, water regulation, nutrient cycling, primary production, climate regulation, pollution remediation and cultural services. Although there has been much research into the role of earthworms in soil ecology, this review demonstrates substantial gaps in our knowledge related in particular to difficulties in identifying the effects of species, land use and climate. The review aims to assist people involved in all aspects of land management, including conservation, agriculture, mining or other industries, to obtain a broad knowledge of earthworms and ecosystem services.","EUROPEAN JOURNAL OF SOIL SCIENCE ","en",2013,"Apr","France","France","10.1111/ejss.12025","http://dx.doi.org/10.1111/ejss.12025","10.1111/1365-2435.12969","England","South of England ","Keywords + : POLYCYCLIC AROMATIC-HYDROCARBON;SNORTHERN HARDWOOD FORESTS;ORGANIC-MATTER DYNAMICS;NITROUS-OXIDE N2O;LUMBRICUS-TERRESTRIS;LONG-TERM;EISENIA-FOETIDA;BURROW SYSTEMS;PLANT-GROWTH;APORRECTODEA-TRAPEZOIDES"," detritivore diversity; endogeic earthworms; herbivore-feeding guilds; meta-analysis; plant growth-defence trade-off; plant nutrients; plant resistance."
