,"MA","Title","First author","Last author","Abstract","OnResearchgate","DOI","rg_URL"
1,"MA1","Influence of exotic earthworm invasion on soil organic matter, microbial biomass and denitrification potential in forest soils of the northeastern United States.","Amy E Burtelow","Peter M Groffman","Formerly glaciated regions of the northeastern United States have few native earthworm species and the region is dominated by exotic earthworms from Europe and Asia. Earthworms of the Asian Megascolecid genus Amynthas, common in many forests of the southeastern US, are invading new habitats in north of their reported range in the northeastern US. At the Cary Arboretum in Millbrook, NY (approximately 42° N latitude, 74° W longitude), we discovered distinct patches of forest soil invaded by Amynthas hawayanus which were adjacent to areas of forest soil with no earthworms. We sampled soil within and just outside of the worm patches to assess the influence of earthworm invasion on the following soil chemical and biological characteristics: soil NO−3 and NH+4 concentrations, microbial biomass carbon (C) and nitrogen (N), readily-mineralizable C, organic matter content, pH and denitrification enzyme activity (DEA). Soil patches with earthworms had greatly increased fractions of active and readily-mineralizable soil organic matter compared with patches lacking worms. Readily-mineralizable and microbial biomass C, expressed per gram of soil organic matter, were 1.4-fold greater within the worm patches than outside the patches. Microbial biomass N per gram of organic matter was 2.4-fold greater, and DEA was 2.7-fold greater, in the worm patches than in surrounding soil. Earthworms apparently decreased the organic matter content of the O horizon by 36%. Our results strongly suggest that invasion of forests in the northeastern US by these exotic earthworms increases both C and N flux, with potentially important long-term consequences for nutrient cycling in these ecosystems.","Sep 1998","DOI: 10.1016/S0929-1393(98)00075-4","https://www.researchgate.net/publication/222504320_Influence_of_exotic_earthworm_invasion_on_soil_organic_matter_microbial_biomass_and_denitrification_potential_in_forest_soils_of_the_northeastern_United_States?_sg=Yv_a-THpFLD4vDUrl0rXvw4YNA6TBSRqNj_obWyLYzEIp3c_WKtxs7crdoVE05VQwdF5S5LHlSvHMqs "
2,"MA1","Non-native earthworm influences on ectomycorrhizal colonization and growth of white spruce.","Erin K. Cameron","Erin M. Bayne","Exotic earthworms are entering previously uninhabited soils of boreal forests, their invasion largely facilitated through human activities. As ecosystem engineers, earthworms are capable of causing dramatic changes in above- and belowground forest composition, but whether they have the same effects in all forests remains unclear. Forest compositional changes caused by earthworms may be mediated by interactions between earthworms and mycorrhizal fungi. Specifically, tree seedling growth may be altered by the presence of exotic earthworms and their subsequent impact on mycorrhizal fungi. In this study, we investigate the effects of exotic earthworms on ectomycorrhizal colonization and seedling growth of the conifer Picea glauca (white spruce) in gray luvisolic soils from the Boreal Plains. Anecic Lumbricus terrestris and epigeic Dendrobaena octaedra earthworms were added to mesocosms each containing a white spruce seedling in a greenhouse experiment. Impacts on the composition of ectomycorrhizal fungi in the mesocosms were determined using a combination of morphological and molecular techniques, and effects on seedling growth were assessed through above- and belowground measurements. The proportion of ectomycorrhizal root tips and ectomycorrhizal community composition did not vary as a function of earthworm species or density. Similarly, exotic earthworms had no significant effect on spruce seedling growth or survival.","Mar 2012","DOI: 10.2980/19-1-3478","https://www.researchgate.net/publication/280989261_Non-Native_Earthworm_Influences_on_Ectomycorrhizal_Colonization_and_Growth_of_White_Spruce?_sg=pzRrZIYjbgFQCsvz09Ol-L1ejSQJVi1nswX8S0jb0dMER1vTvBujJZylabyNzgH2thtxPOVk8LfDlD8"
3,"MA1","Complementary ability of three European earthworms (Lumbricidae) to bury lime and increase pasture production in acidic soils of south-eastern Australia.","K CHAN","K CHAN","Mechanical incorporation of surface-applied lime (CaCO3) to ameliorate subsoil acidity is often not feasible because of damage to plants and erosion hazards. This paper presents results of a field cage experiment comparing the influences of three exotic European earthworm species (Aporrectodea longa, A. caliginosa and A. trapezoides) on lime incorporation and pasture production over two seasons, on two acidic soil types under pastures on the central tablelands of New South Wales, Australia. A. trapezoides was least effective in increasing pH of soil below 2.5 cm and survived poorly compared with A. caliginosa. The latter was most effective at 2.5–10 cm whilst A. longa was more effective at 10–15 cm depth. Similar complementary increases in the level of mineralisable nitrogen (MN) by both earthworm species were also observed. There was evidence suggesting that the survival of A. longa was improved by the presence of A. caliginosa. Earthworms improved pasture growth at only one site.","Jul 2004","DOI: 10.1016/j.apsoil.2003.12.004","https://www.researchgate.net/publication/257382047_Complementary_ability_of_three_European_earthworms_Lumbricidae_to_bury_lime_and_increase_pasture_production_in_acidic_soils_of_south-eastern_Australia?_sg=Ua8BpdqBBRGjN8DdNf21oV7A8fddEVUdO7T4k5BQdF9DhT0xnOj4ahvoGlmNHoJpdRzR-G7q-BIGoDo"
4,"MA1","Amynthas agrestis invasion increases microbial biomass in Mid-Atlantic deciduous forests.","Chih-Han Chang","Jeffrey S. Buyer","Earthworm species with different feeding, burrowing, and/or casting behaviors can lead to distinct microbial communities through complex direct and indirect processes. European earthworm invasion into temperate deciduous forests in North America has been shown to alter microbial biomass in the soil and reduce the fungi-to-bacteria ratios. It is unclear how changes in earthworm species composition due to interspecific competition may alter this dynamics, especially under the ongoing invasion by Asian Amynthas and Metaphire species. Furthermore, it is also poorly understood how interspecific interactions involving different species may have species-dependent, non-additive effects on different groups of soil microorganisms. By conducting a two-year field experiment in a deciduous forest in the Mid-Atlantic, we examined how the Asian species Amynthas agrestis and Amynthas corticis, the European species Lumbricus rubellus and Octolasion lacteum, and their interactions affect soil microbial communities, and tested the hypotheses that the Asian species and the interaction between the two European species negatively affect bacterial biomass. We showed that while A. corticis generally had no effect on soil microorganisms, A. agrestis had a positive effect on microbial biomass, primarily by increasing the biomass of Gram-positive and Gram-negative bacteria. Consistent with our hypothesis, the interaction between L. rubellus and O. lacteum had a negative effect on bacteria biomass. We concluded that the ongoing invasion of the Asian earthworm A. agrestis in forest soils and potential displacement of L. rubellus due to interspecific competition may lead to increased bacterial biomass through increasing resource availability and disrupting the interaction between L. rubellus and O. lacteum, potentially causing increased carbon mineralization and reducing soil carbon storage.","Nov 2017","DOI: 10.1016/j.soilbio.2017.07.018","https://www.researchgate.net/publication/318718140_Amynthas_agrestis_invasion_increases_microbial_biomass_in_Mid-Atlantic_deciduous_forests?_sg=h75bsvQOrW9EcV6j_ItxwxtNj9cG7Bi_3coK_eWAxDEqMTAyGa8cgkae5bMCAYdVX4WiyzPC02gQ5bs"
5,"MA1","Community-specific impacts of exotic earthworm invasions on soil carbon dynamics in a sandy temperate forest.","Jasmine M. Crumsey","Knute J. Nadelhoffer","Exotic earthworm introductions can alter above- and belowground properties of temperate forests, but the net impacts on forest soil carbon (C) dynamics are poorly understood. We used a mesocosm experiment to examine the impacts of earthworm species belonging to three different ecological groups (Lumbricus terrestris [anecic], Aporrectodea trapezoides [endogeic], and Eisenia fetida [epigeic]) on C distributions and storage in reconstructed soil profiles from a sandy temperate forest soil by measuring CO2 and dissolved organic carbon (DOC) losses, litter C incorporation into soil, and soil C storage with monospecific and species combinations as treatments. Soil CO2 loss was 30% greater from the Endogeic x Epigeic treatment than from controls (no earthworms) over the first 45 days; CO2 losses from monospecific treatments did not differ from controls. DOC losses were three orders of magnitude lower than CO2 losses, and were similar across earthworm community treatments. Communities with the anecic species accelerated litter C mass loss by 31-39% with differential mass loss of litter types (Acer rubrum > Populus grandidentata > Fagus grandifolia > Quercus rubra > or = Pinus strobus) indicative of leaf litter preference. Burrow system volume, continuity, and size distribution differed across earthworm treatments but did not affect cumulative CO2 or DOC losses. However, burrow system structure controlled vertical C redistribution by mediating the contributions of leaf litter to A-horizon C and N pools, as indicated by strong correlations between (1) subsurface vertical burrows made by anecic species, and accelerated leaf litter mass losses (with the exception of P. strobus); and (2) dense burrow networks in the A-horizon and the C and N properties of these pools. Final soil C storage was slightly lower in earthworm treatments, indicating that increased leaf litter C inputs into soil were more than offset by losses as CO2 and DOC across earthworm community treatments.","Dec 2013","DOI: 10.1890/12-1555.1","https://www.researchgate.net/publication/260560985_Community-specific_impacts_of_exotic_earthworm_invasions_on_soil_carbon_dynamics_in_a_sandy_temperate_forest?_sg=TwZmqg8S1rmzSe9JF2parYqqb3nMKwCTLLD7UkG3roL8hAbGcLFvHponVyF7M783iEeipZAqBW5RZuI"
6,"MA1","Exotic earthworm community composition interacts with soil texture to affect redistribution and retention of litter-derived C and N in northern temperate forest soils.","Jasmine M. Crumsey","Knute J. Nadelhoffer","Exotic earthworm impacts on temperate forest soils are influenced by earthworm community composition and are likely constrained by the degree of organic matter redistribution following earthworm introductions across different soil types; however, the relative importance of these factors remains unknown. We examined how exotic earthworm communities affected leaf litter carbon (C) and nitrogen (N) mineralization and transport in two Spodosols with contrasting textures and organic matter contents. In reconstructed soil mesocosms, we measured organic C pools, quantified 13C and 15N transport from isotopically labeled red maple (Acer rubrum) leaf litter, and linked leaf litter redistribution to sub-surface burrow system structures following 150-day incubations. Transport of C and N from surface litter into soil was greatest with multi-species earthworm communities, and A-horizon and burrow pools functioned as dominant sinks for this material. Litter-derived C:N recovery ratios of soil pools revealed higher retention of litter-derived N over litter-derived C; recovery of litter N (mg 15N m−2) transported from surface litter was greater in the sandy loam (98.2 ± 2.73 %) than in the sandy soil (66.2 ± 4.92 %) following earthworm community additions. Earthworm biomass was as a minor sink for litter C (mg 13C m−2) and N transported from surface litter (0.56 ± 0.13 and 2.26 ± 0.31 %, respectively). Recovery of litter-derived C and N in earthworm biomass increased with the degree of direct leaf litter consumption (A. trapezoides < E. fetida < L. terrestris). Surface-dwelling epigeic and mineral-soil dwelling endogeic species produced burrow systems with the highest volume, surface connectivity, and density in the A-horizon; these properties were associated with greater CO2 losses and with greater litter C and N transport into A-horizons and burrows. Burrow systems with high continuity and large burrows produced by vertical-burrowing anecic species were associated with greater litter C and N transport into B-horizons, and greater dissolved organic C leaching losses. This study shows that the degree of organic matter redistribution in temperate forest soils following earthworm introductions is directly related to earthworm community composition, while the preferential retention of N over C and the potential stabilization of this material is determined by soil type.","Dec 2015","DOI: 10.1007/s10533-015-0164-6","https://www.researchgate.net/publication/284360123_Exotic_earthworm_community_composition_interacts_with_soil_texture_to_affect_redistribution_and_retention_of_litter-derived_C_and_N_in_northern_temperate_forest_soils?_sg=--Xz5BjAVMi-FAjEz0jtyfBdesNl_wVhxRxm8nKRTtshhppgaszt_AqZ3KNjL8LBifTzhEu6l0xfUoE"
7,"MA1","Earthworm-induced shifts in microbial diversity in soils with rare versus established invasive earthworm populations.","Alexandre B de Menezes","Peter H Thrall","European earthworms have colonised many parts of Australia, although their impact on soil microbial communities remains largely uncharacterised. An experiment was conducted to contrast the responses to Aporrectodea trapezoides introduction between soils from sites with established (Talmo, 64 A. trapezoides m⁻²) and rare (Glenrock, 0.6 A. trapezoides m⁻²) A. trapezoides populations. Our hypothesis was that earthworm introduction would lead to similar changes in bacterial communities in both soils. The effects of earthworm introduction (earthworm activity and cadaver decomposition) did not lead to a convergence of bacterial community composition between the two soils. However, in both soils the Firmicutes decreased in abundance and a common set of bacteria responded positively to earthworms. The increase in the abundance of Flavobacterium, Chitinophagaceae, Rhodocyclaceae and Sphingobacteriales were consistent with previous studies. Evidence for possible soil resistance to earthworms was observed, with lower earthworm survival in Glenrock microcosms coinciding with A. trapezoides rarity in this site, lower soil organic matter and clay content, and differences in the diversity and abundance of potential earthworm mutualist bacteria. These results suggest that while the impacts of earthworms vary between different soils, the consistent response of some bacteria may aid in predicting the impacts of earthworms on soil ecosystems.","Mar 2018","DOI: 10.1093/femsec/fiy051","https://www.researchgate.net/publication/323947436_Earthworm-induced_shifts_in_microbial_diversity_in_soils_with_rare_versus_established_invasive_earthworm_populations?_sg=CbzTvyee1O9rRI79ugdfH9oEzIXtYmwOPNA2gkHj2YWHmtbfU15qXfRrLhfN5jUjnh250yhIpyD6-gQ "
8,"MA1","Exotic earthworms alter soil microbial community composition and function.","Mark A. Dempsey","Teri C. Balser","Exotic earthworms can profoundly alter soil carbon (C) and nitrogen (N) dynamics in northern temperate forests, but the mechanisms explaining these responses are not well understood. We compared the soil microbial community (SMC) composition (measured as PLFAs) and enzyme activity between paired earthworm-invaded and earthworm-free plots in northern hardwood forests of New York, USA. We hypothesized that differences in SMCs and enzyme activity between plots would correspond with differences in soil C content and C:N ratios. Relative abundance of several bacterial (mostly gram-positive) PLFAs was higher and that of two fungal PLFAs was lower in earthworm compared to reference plots, largely because of earthworm incorporation of the organic horizon into mineral soil. In surface mineral soil earthworms increased arbuscular mycorrhizal fungi (AMF) and gram-positive bacterial PLFAs, and decreased fungal (mostly saprotrophic) and several bacterial (gram-negative and non-specific) PLFAs. Earthworms also increased the activities of cellulolytic relative to lignolytic enzymes in surface mineral soil, and the relationships between enzyme activities and components of the SMC suggest a substrate-mediated effect on the SMC and its metabolism of C. A highly significant relationship between components of the SMC and soil C:N also suggests that earthworms reduce soil C:N through functional and compositional shifts in the SMC. Finally, changes in AMF abundances were linked to phosphatase activity, suggesting that earthworms do not necessarily inhibit P-acquisition by AMF-associated plants in our study system. We conclude that the combined influence of earthworm-related changes in physical structure, accessibility and chemistry of organic matter, and relative abundance of certain groups of fungi and bacteria promote C metabolism, in particular by increasing the activities of cellulolytic vs. lignolytic enzymes.","Dec 2013","DOI: 10.1016/j.soilbio.2013.09.009","https://www.researchgate.net/publication/273613855_Exotic_earthworms_alter_soil_microbial_community_composition_and_function?_sg=D4VMrOMKmC6Vw0PRa19bjDF14UoGAkuj9_pAsVopBM4fTVr3vyYu4-mX00Z7UGhHSbsd79ui0eBcZX0 "
9,"MA1","The wave towards a new steady state: effects of earthworm invasion on soil microbial functions.","Nico Eisenhauer","Lee E. Frelich","Earthworms are ecosystem engineers that cause a long cascade of ecological effects when they invade previously earthworm-free forests. However, the consequences of earthworm invasion for soil microbial functions are poorly understood. Here, we used two well-studied invasion fronts of European earthworms in northern North American hardwood forests previously devoid of earthworms in order to investigate three stages of earthworm invasion: uninvaded, the front of the leading edge of earthworm invasion and locations invaded at least 10years previously. Soil microbial biomass, respiration and metabolic quotient were measured. Earthworms had marked effects on soil microbial biomass (−42%) and respiration (−32%). At both sites, impacts were most pronounced at the leading edge of the invasion front, significantly decreasing soil microbial C use efficiency. This was most likely due to the disturbance of the soil microbial community caused by water stress. Based on these results, we hypothesize that effects of earthworm invasion on native soil ecosystem functioning are most pronounced at the peak of the invasion wave. After experiencing this wave, ecosystems possibly enter a new steady state with altered biotic compositions and functions.","Oct 2011","DOI: 10.1007/s10530-011-0053-4","https://www.researchgate.net/publication/225359516_The_wave_towards_a_new_steady_state_Effects_of_earthworm_invasion_on_soil_microbial_functions?_sg=FYd8Zsryk_kSPiry0VAQ5H5xWXeUB83HYYI-kxfsT0YXSfaxFUYg-ccUV72QUw_bXHI2eef7RlxVOFE "
10,"MA1","Interactive effects of global warming and ‘global worming’ on the initial establishment of native and exotic herbaceous plant species.","Nico Eisenhauer","Peter B. Reich","The spread of exotic earthworms (‘worming’) and rising temperatures are expected to alter the biological, chemical and physical properties of many ecosystems, yet little is known about their potential interactive effects. We performed a laboratory microcosm experiment to investigate the effects of earthworms (anecic, endogeic, epigeic, or all three together) and 4°C warming on soil water content, litter turnover and seedling establishment of four native and four exotic herbaceous plant species. Warming and worming exerted independent as well as interactive effects on soil processes and plant dynamics. Warming reduced the water content of the upper soil layer, but only in the presence of earthworms. Litter removal increased in the presence of earthworms, the effect being most pronounced in the presence of anecic earthworms at ambient temperature. Exotic plant species were most influenced by earthworms (lower seedling number but higher biomass), whereas natives were most sensitive to warming (higher seedling number). This differential response resulted in significant interaction effects of earthworms and warming on abundance and richness of native relative to exotic plants as well as related shifts in plant species composition. Structural equation modeling allowed us to address possible mechanisms: direct effects of earthworms primarily affected exotic plants, whereas earthworms and warming indirectly and differentially affected native and exotic plants through changes in soil water content and surface litter. Invasive earthworms and warming are likely to interactively impact abiotic and biotic ecosystem properties. The invasion of epigeic and anecic species could select for plant species able to germinate on bare soil and tolerate drought, with the latter becoming more important in a warmer world. Thus earthworm invasion may result in simplified plant communities of increased susceptibility to the invasion of exotic plants.","Nov 2011","DOI: 10.1111/j.1600-0706.2011.19807.x","https://www.researchgate.net/publication/227762532_Interactive_effects_of_global_warming_and_%27global_worming%27_on_the_initial_establishment_of_native_and_exotic_herbaceous_plant_species?_sg=zS2MnUyhFCsKTm3a6Afc7jSQsBq2ZK2NcumopHgKkYqElzLZbi7uh54wbCCPG04Fgc1JY9ti12V5F9w"
