"Title","First author","Last author","Abstract","Journal","Language","Year","Month","First Author Country","Last Author Country","DOI","DOI URL","DOI MA","Country study","Location ","Keywords","Keywords MA"
"Earthworms increase plant production: a meta-analysis.","Jan Willem van Groenigen","Kees Jan van Groenigen","To meet the challenge of feeding a growing world population with minimal environmental impact, we need comprehensive and quantitative knowledge of ecological factors affecting crop production. Earthworms are among the most important soil dwelling invertebrates. Their activity affects both biotic and abiotic soil properties, in turn affecting plant growth. Yet, studies on the effect of earthworm presence on crop yields have not been quantitatively synthesized. Here we show, using meta-analysis, that on average earthworm presence in agroecosystems leads to a 25% increase in crop yield and a 23% increase in aboveground biomass. The magnitude of these effects depends on presence of crop residue, earthworm density and type and rate of fertilization. The positive effects of earthworms become larger when more residue is returned to the soil, but disappear when soil nitrogen availability is high. This suggests that earthworms stimulate plant growth predominantly through releasing nitrogen locked away in residue and soil organic matter. Our results therefore imply that earthworms are of crucial importance to decrease the yield gap of farmers who can't -or won't- use nitrogen fertilizer.","SCIENTIFIC REPORTS ","en",2014,"Sep","The Netherlands","UK","10.1038/srep06365","http://dx.doi.org/10.1038/srep06365","10.1038/srep06365","Various (meta-analysis)","Various","Keywords +: SOIL CARBON;MANAGEMENT;GROWTH;POOLS;AGROECOSYSTEMS;COMMUNITIES;TOLERANCE;BIOMASS;CO2 ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Food security: the challenge of feeding 9 billion people.","Godfray, H. Charles J.","Toulmin, Camilla","Continuing population and consumption growth will mean that the global demand for food will increase for at least another 40 years. Growing competition for land, water, and energy, in addition to the overexploitation of fisheries, will affect our ability to produce food, as will the urgent requirement to reduce the impact of the food system on the environment. The effects of climate change are a further threat. But the world can produce more food and can ensure that it is used more efficiently and equitably. A multifaceted and linked global strategy is needed to ensure sustainable and equitable food security, different components of which are explored here.","Science","en",2010,"Feb","England","England","10.1093/oso/978019511312903028","https://doi.org/10.1126/science.1185383","10.1038/srep06365","N/A","N/A","Keywords +: LAND;AGRICULTURE;SUSTAINABILITY;IMPACT;YIELDS ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"The role of conservation agriculture in sustainable agriculture.","Hobbs, Peter R.","Raj Gupta, Rishi","The paper focuses on conservation agriculture (CA), defined as minimal soil disturbance (no-till, NT) and permanent soil cover (mulch) combined with rotations, as a more sustainable cultivation system for the future. Cultivation and tillage play an important role in agriculture. The benefits of tillage in agriculture are explored before introducing conservation tillage (CT), a practice that was borne out of the American dust bowl of the 1930s. The paper then describes the benefits of CA, a suggested improvement on CT, where NT, mulch and rotations significantly improve soil properties and other biotic factors. The paper concludes that CA is a more sustainable and environmentally friendly management system for cultivating crops. Case studies from the rice-wheat areas of the Indo-Gangetic Plains of South Asia and the irrigated maize-wheat systems of Northwest Mexico are used to describe how CA practices have been used in these two environments to raise production sustainably and profitably. Benefits in terms of greenhouse gas emissions and their effect on global warming are also discussed. The paper concludes that agriculture in the next decade will have to sustainably produce more food from less land through more efficient use of natural resources and with minimal impact on the environment in order to meet growing population demands. Promoting and adopting CA management systems can help meet this goal.","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES ","en",2008,"Feb","USA","India","10.1007/978-981-16-0827-8_25","http://dx.doi.org/10.1007/978-981-16-0827-8_25","10.1038/srep06365","Asia, Mexico","Indo-Gangetic Plains,  South Asia, Northwest Mexico ","conservation agriculture;direct seeding;zero-tillage;rice-wheat systems;bed planting;mulching ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Comparing the yields of organic and conventional agriculture.","Verena Seufert","Foley, Jonathan A.","Numerous reports have emphasized the need for major changes in the global food system: agriculture must meet the twin challenge of feeding a growing population, with rising demand for meat and high-calorie diets, while simultaneously minimizing its global environmental impacts(1,2). Organic farming-a system aimed at producing food with minimal harm to ecosystems, animals or humans-is often proposed as a solution(3,4). However, critics argue that organic agriculture may have lower yields and would therefore need more land to produce the same amount of food as conventional farms, resulting in more widespread deforestation and bio-diversity loss, and thus undermining the environmental benefits of organic practices(5). Here we use a comprehensive meta-analysis to examine the relative yield performance of organic and conventional farming systems globally. Our analysis of available data shows that, overall, organic yields are typically lower than conventional yields. But these yield differences are highly contextual, depending on system and site characteristics, and range from 5% lower organic yields (rain-fed legumes and perennials on weak-acidic to weak-alkaline soils), 13% lower yields (when best organic practices are used), to 34% lower yields (when the conventional and organic systems are most comparable). Under certain conditions-that is, with good management practices, particular crop types and growing conditions-organic systems can thus nearly match conventional yields, whereas under others it at present cannot. To establish organic agriculture as an important tool in sustainable food production, the factors limiting organic yields need to be more fully understood, alongside assessments of the many social, environmental and economic benefits of organic farming systems.","NATURE ","en",2012,"May","The Netherlands","USA","10.1016/b978-0-08-100596-5.22027-1","http://dx.doi.org/10.1016/b978-0-08-100596-5.22027-1","10.1038/srep06365","Various (comprehensive meta-analysis)","Various ","Ketwords +: PRODUCTIVITY;METAANALYSES;AVAILABILITY;CHALLENGE;EQUALITY;LEGUMEFEED ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"A review of earthworm impact on soil function and ecosystem services.","M. Blouin","J.‐J. Brun","Biodiversity is responsible for the provision of many ecosystem services; human well‐being is based on these services, and consequently on biodiversity. In soil, earthworms represent the largest component of the animal biomass and are commonly termed ‘ecosystem engineers’. This review considers the contribution of earthworms to ecosystem services through pedogenesis, development of soil structure, water regulation, nutrient cycling, primary production, climate regulation, pollution remediation and cultural services. Although there has been much research into the role of earthworms in soil ecology, this review demonstrates substantial gaps in our knowledge related in particular to difficulties in identifying the effects of species, land use and climate. The review aims to assist people involved in all aspects of land management, including conservation, agriculture, mining or other industries, to obtain a broad knowledge of earthworms and ecosystem services.","EUROPEAN JOURNAL OF SOIL SCIENCE ","en",2013,"Apr","France","France","10.1111/ejss.12025","http://dx.doi.org/10.1111/ejss.12025","10.1038/srep06365","England","South of England ","Keywords +: POLYCYCLIC AROMATIC-HYDROCARBONS;NORTHERN HARDWOOD FORESTS;ORGANIC-MATTER DYNAMICS;NITROUS-OXIDE N2O;LUMBRICUS-TERRESTRIS;LONG-TERM;EISENIA-FOETIDA;BURROW SYSTEMS;PLANT-GROWTH;APORRECTODEA-TRAPEZOIDES ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"The formation of vegetable mould through the action of worms with observations on their habits.","CHARLES DARWIN","CHARLES DARWIN","N/A","Book","en",1881,"N/A","England","England","10.1017/cbo978051170385002","https://darwin-online.org.uk/content/frameset?viewtype=text&itemID=F1357&pageseq=1","10.1038/srep06365","N/A","N/A","N/A","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Effects of earthworms on plant growth: patterns and perspectives.","Stefan Scheu","Stefan Scheu","A total of 67 studies were located in which the response of plants to presence of earthworms was investigated. The number of studies increased strongly during the last decade. in most of the studies (79%) shoot biomass of plants significanty increased in the presence of earthworms. However, knowledge on effects of earthworms on plant growth is very biased; most studies investigated crop plants, particularly cereals, and pastures; very little is known on plant species in more natural communities. Recently, interest in tropical plant species has increased considerably, however, the studies have considered almost exclusively agricultural plant species. Generally, experiments focused on the response of plant shoots but 45% of the studies also considered roots. Most of the studies investigated European earthworms (Lumbricidae); very little is known on other earthworm species. Some early studies indicated that earthworms affect the composition of plant communities but only very recently has it been documented that earthworms affect plant competition. However, there is virtually no information on how earthworms affect plant performance in detail including fitness parameters such as flowering and seed production. It has been realized recently that earthworms not only modify plant growth and vegetation structure but also the susceptability of plants to herbivores. Herbivore performance might be stimulated but also reduced due to the presence of earthworms. Furthermore, earthworms function as subsidiary food resources to generalist predators when herbivore prey is scarce. The complex indirect interactions between earthworms and the aboveground system deserve further investigation in both natural and agricultural ecosystems. The imperative for future research is adopting an ecological rather than an agricultural perspective in studying earthworm-plant interrelationships and viewing earthworms as driving factors of the aboveground food web. It is suggested that studies on earthworm-plant interactions may contribute significantly to a more comprehensive understanding of terrestrial ecosystems and to the development of more environmentally friendly agricultural practices.","Pedobiologia","en",2002,"Sep","Germany","Germany","10.1078/0031-4056-00270","http://dx.doi.org/10.1078/0031-4056-00270","10.1038/srep06365","Various (review)","Various ","Lumbricidae;rhizosphere;animal-plant interactions;indirect effects;food-web ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"The role of biomass allocation in the growth response of plants to different levels of light, CO2, nutrients and water: a quantitative review.","Hendrik Poorter","Oscar Nagel","The allocation of biomass to different plantorgans depends on species, ontogeny and on the environment experienced by theplant. In this paper we first discuss some methodological tools to describeand analyse the allocation of biomass. Rather than the use of shoot:rootratios, we plead strongly for a subdivision of biomass into at least threecompartments: leaves, stems and roots. Attention is drawn to some of thedisadvantages of allometry as a tool to correct for size differences betweenplants. Second, we tested the extent to which biomass allocation of plantsfollows the model of a ‘functional equilibrium’. According to thismodel, plants respond to a decrease in above-ground resources with increasedallocation to shoots (leaves), whereas they respond to a decrease inbelow-ground resources with increased allocation to roots. We carried out ameta-analysis of the literature, analysing the effect of various environmentalvariables on the fraction of total plant biomass allocated to leaves (leafmass fraction), stem (stem mass fraction) and roots (root mass fraction). Theresponses to light, nutrients and water agreed with the (qualitative)prediction of the ‘functional equilibrium’ theory. The notableexception was atmospheric CO2, which did not affectallocation when the concentration was doubled. Third, we analysed thequantitative importance of the changes in allocation compared to changes inother growth parameters, such as unit leaf rate (the net difference betweencarbon gain and carbon losses per unit time and leaf area), and specific leafarea (leaf area: leaf biomass). The effects of light,CO2 and water on leaf mass fractions were small comparedto their effects on relative growth rate. The effects of nutrients, however,were large, suggesting that only in the case of nutrients, biomass allocationis a major factor in the response of plants to limiting resource supply.","AUSTRALIAN JOURNAL OF PLANT PHYSIOLOGY ","en",2000,"Jan","Germany","Germany","10.1071/pp99173","http://dx.doi.org/10.1071/pp99173","10.1038/srep06365","NEWCASTLE","AUSTRALIA","Keywords +: FUNCTIONAL EQUILIBRIUM;SHOOT RATIOS;ROOT RATIO;CARBON;NITROGEN;TEMPERATURE;RESPIRATION;PRODUCTIVITY;SEEDLINGS;OPINION ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Earthworm ecology. 2nd Edition.","José A. Amador","José A. Amador","N/A","Book","en",2005,"Mar","USA","USA","10.1097/00010694-200503000-00008","http://dx.doi.org/10.1097/00010694-200503000-00008","10.1038/srep06365","N/A","N/A","N/A","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Earthworms influence the production of above- and belowground biomass and the expression of genes involved in cell proliferation and stress responses in Arabidopsis thaliana.","Ulrike Jana","Anne Repellin","To better understand the complex mechanisms of action of earthworms on plants, we set up an experimental system using the model plant Arabidopsis thaliana (L) Heynh, Aporrectodea caliginosa a common temperate earthworm and two types of soil with contrasted contents in organic matter and nutrients. Changes in plant biomass, biomass allocation to roots, leaves and stems and C/N ratios were related to variations in the expression of several plant genes involved in cellular division and stress responses and with earthworm-induced alterations in soil mineral status.  In the poorest soil, i.e. with low contents in mineral nutrient and organic matter, earthworms increased soil nitrate content very significantly and boosted plant aboveground biomass production. This correlated with changes in leaf transcript accumulation suggesting enhanced cell division and lesser incidence of reactive oxygen species. In the richer soil, earthworms had no significant effect on the production of aerial biomass. However, several plant responses were observed regardless of soil quality: enhanced accumulation of an auxin-responsive transcript in the leaves, a strong decrease in root length and biomass and a reduction in C/N values, particularly in the bolt stems. Although these results pointed out earthworm-induced enhancement of mineralization as a determining factor in the formidable plant growth responses, the release in the drilosphere of phytohormone-like compounds by earthworm-activated bacteria was most likely implicated as well in this process and resulted in ""forced"" nitrogen uptake by the plants. The herein demonstrated sensitivity of the model plant A. thaliana to earthworms shows that such new experimental set up could become a central key to the development of multidisciplinary investigations on plant-soil interactions. ","SOIL BIOLOGY & BIOCHEMISTRY ","en",2010,"Feb","France","France","10.1016/j.soilbio.2009.1022","https://doi.org/10.1016/j.soilbio.2009.10.022","10.1038/srep06365","France","the Museum National d'Histoire Naturelle in Brunoy (Essonne, France) and at the Centre de Recherche en Ecologie Expérimentale et Prédictive - CEREEP (Saint-Pierre-Lès-Nemours, France).","Arabidopsis thaliana;Aporrectodea caliginosa;Plant plasticity;Shoot-root ratio;Soil quality;Transcript accumulation;Earthworm ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
