,Title,First author,Last author,Abstract,Journal,Language,Year,Month,First Author Country,Last Author Country,DOI,DOI URL
1,Soil chemistry turned upside down: a meta-analysis of invasive earthworm effects on soil chemical properties,Olga Ferlian,Nico Eisenhauer,"<jats:title>Abstract</jats:title><jats:p>Recent studies have shown that invasive earthworms can dramatically reduce native biodiversity, both above and below the ground. However, we still lack a synthetic understanding of the underlying mechanisms behind these changes, such as whether earthworm effects on soil chemical properties drive such relationships. Here, we investigated the effects of invasive earthworms on soil chemical properties (pH, water content, and the stocks and fluxes of carbon, nitrogen, and phosphorus) by conducting a meta‐analysis. Invasive earthworms generally increased soil pH, indicating that the removal of organic layers and the upward transport of more base‐rich mineral soil caused a shift in soil pH. Moreover, earthworms significantly decreased soil water content, suggesting that the burrowing activities of earthworms may have increased water infiltration of and/or increased evapotranspiration from soil. Notably, invasive earthworms had opposing effects on organic and mineral soil for carbon and nitrogen stocks, with decreases in organic, and increases in mineral soil. Nitrogen fluxes were higher in mineral soil, whereas fluxes in organic soil were not significantly affected by the presence of invasive earthworms, indicating that earthworms mobilize and redistribute nutrients among soil layers and increase overall nitrogen loss from the soil. Invasive earthworm effects on element stocks increased with ecological group richness only in organic soil. Earthworms further decreased ammonium stocks with negligible effects on nitrate stocks in organic soil, whereas they increased nitrate stocks but not ammonium stocks in mineral soil. Notably, all of these results were consistent across forest and grassland ecosystems underlining the generality of our findings. However, we found some significant differences between studies that were conducted in the field (observational and experimental settings) and in the lab, such as that the effects on soil pH decreased from field to lab settings, calling for a careful interpretation of lab findings. Our meta‐analysis provides strong empirical evidence that earthworm invasion may lead to substantial changes in soil chemical properties and element cycling in soil. Furthermore, our results can help explain the dramatic effects of invasive earthworms on native biodiversity, for example, shifts towards the dominance of grass species over herbaceous ones, as shown by recent meta‐analyses.</jats:p>",Wiley,en,2020.0,Aug,Germany,Germany,10.1002/ecy.2936,http://dx.doi.org/10.1002/ecy.2936
2,"Effect of earthworm addition on soil nitrogen availability, microbial biomass and litter decomposition in mesocosms.",Yelinda Araujo,Eleusa Barros,No data,Springer Science and Business Media LLC,No data,2004.0,Jan,No data,No data,10.1007/s00374-003-0696-0,http://dx.doi.org/10.1007/s00374-003-0696-0
3,A review of earthworm impact on soil function and ecosystem services.,M. Blouin,J.‐J. Brun,"<jats:title>Summary</jats:title><jats:p>Biodiversity is responsible for the provision of many ecosystem services; human well‐being is based on these services, and consequently on biodiversity. In soil, earthworms represent the largest component of the animal biomass and are commonly termed ‘ecosystem engineers’. This review considers the contribution of earthworms to ecosystem services through pedogenesis, development of soil structure, water regulation, nutrient cycling, primary production, climate regulation, pollution remediation and cultural services. Although there has been much research into the role of earthworms in soil ecology, this review demonstrates substantial gaps in our knowledge related in particular to difficulties in identifying the effects of species, land use and climate. The review aims to assist people involved in all aspects of land management, including conservation, agriculture, mining or other industries, to obtain a broad knowledge of earthworms and ecosystem services.</jats:p>",Wiley,en,2013.0,No data,France,France,10.1111/ejss.12025,http://dx.doi.org/10.1111/ejss.12025
4,Ecosystem consequences of exotic earthworm invasion of north temperate forests.,Patrick J. Bohlen,Robert T. Fahey,No data,Springer Science and Business Media LLC,No data,2004.0,Jan,No data,No data,10.1007/s10021-003-0126-z,http://dx.doi.org/10.1007/s10021-003-0126-z
5,Non-native invasive earthworms as agents of change in northern temperate forests.,Lee Frelich,Lee Frelich,No data,Faculty Opinions Ltd,No data,2016.0,Oct,No data,No data,10.3410/f.726131311.793514356,http://dx.doi.org/10.3410/f.726131311.793514356
6,Protection of soil carbon by microaggregates within earthworm casts.,Heleen Bossuyt,Paul F. Hendrix,No data,Elsevier BV,en,2005.0,No data,No data,No data,10.1016/j.soilbio.2004.07.035,http://dx.doi.org/10.1016/j.soilbio.2004.07.035
7,Strategies lombriciennes Ecological Bulletins,S.N. Luoma,S.N. Luoma,No data,Elsevier BV,en,1987.0,No data,No data,No data,10.1016/0012-8252(87)90008-0,http://dx.doi.org/10.1016/0012-8252(87)90008-0
8,How do earthworms affect microfloral and faunal community diversity?,George G. Brown,George G. Brown,No data,Springer Netherlands,No data,1995.0,No data,No data,No data,10.1007/978-94-011-0479-1_22,http://dx.doi.org/10.1007/978-94-011-0479-1_22
9,Carbon and nitrogen mobilisation by earthworms of different functional groups as affected by soil sand content.,O. Butenschoen,S. Scheu,No data,Elsevier BV,en,2009.0,No data,No data,No data,10.1016/j.pedobi.2008.11.001,http://dx.doi.org/10.1016/j.pedobi.2008.11.001
10,Burrow systems of endogeic earthworms: Effects of earthworm abundance and consequences for soil water infiltration.,Yvan Capowiez,Eric Michel,No data,Elsevier BV,en,2014.0,No data,No data,No data,10.1016/j.pedobi.2014.04.001,http://dx.doi.org/10.1016/j.pedobi.2014.04.001
11,Non-native earthworms in riparian soils increase nitrogen flux into adjacent aquatic ecosystems.,David M. Costello,Gary A. Lamberti,No data,Springer Science and Business Media LLC,en,2008.0,No data,No data,No data,10.1007/s00442-008-1149-0,http://dx.doi.org/10.1007/s00442-008-1149-0
12,Invasion of exotic earthworms into ecosystems inhabited by native earthworms. Biological Invasions.,P. F. Hendrix,X. Zou,No data,Springer Netherlands,No data,2006.0,No data,No data,No data,10.1007/978-1-4020-5429-7_9,http://dx.doi.org/10.1007/978-1-4020-5429-7_9
13,Pandora's box contained bait: the global problem of introduced earthworms.,Paul F. Hendrix,Weixin Zhang,"<jats:p>Introduced exotic earthworms now occur in every biogeographic region in all but the driest or coldest habitat types on Earth. The global distribution of a few species (e.g., Pontoscolex corethrurus) was noted by early naturalists, but now approximately 120 such peregrine species are recognized to be widespread from regional to global scales, mainly via human activities. Species adapted to human transport and to colonization of disturbed habitats are most widespread and are the principal invasive species. We identify a number of endogenous and exogenous factors that may contribute to the successful establishment and spread of peregrine species. Quantification of these factors may help to determine why certain species become invasive while others do not. Recent advances in theory and modeling of biological invasions and in molecular techniques should prove fruitful in improving our understanding of invasive earthworms, as well as in predicting their impacts on ecosystems.</jats:p>",Annual Reviews,en,2008.0,Jan,30602;,China,10.1146/annurev.ecolsys.39.110707.173426,http://dx.doi.org/10.1146/annurev.ecolsys.39.110707.173426
14,Gross nitrogen mineralisation and fungi-to-bacteria ratios are negatively correlated in boreal forests.,Mona N. Högberg,Peter Högberg,No data,Springer Science and Business Media LLC,en,2007.0,No data,No data,No data,10.1007/s00374-007-0215-9,http://dx.doi.org/10.1007/s00374-007-0215-9
15,Influence of invasive earthworms on above and belowground vegetation in a northern hardwood forest.,Kristine N. Hopfensperger,Timothy J. Fahey,No data,University of Notre Dame,en,2011.0,No data,No data,No data,10.1674/0003-0031-166.1.53,http://dx.doi.org/10.1674/0003-0031-166.1.53
16,"Jennions, M. D., C. J. Lortie, M. S. Rosenberg, and H. R. Rothstein. 2013. Publication and related biases.",Michael D. Jennions,Hannah R. Rothstein,"<p>This chapter discusses the increased occurrence of publication bias in the scientific literature. Publication bias is associated with the inaccurate representation of the merit of a hypothesis or idea. A strict definition is that it occurs when the published literature reports results that systematically differ from those of all studies and statistical tests conducted; the result is that false conclusions are drawn. The chapter presents five main approaches used to either detect potential narrow sense publication bias or assess how sensitive the results of a meta-analysis are to the possible exclusion. These include funnel plots, tests for relationships between effect size and sample size using nonparametric correlation or regression, trim and fill method, fail-safe numbers, and model selection.</p>",Princeton University Press,No data,2013.0,No data,No data,No data,10.23943/princeton/9780691137285.003.0014,http://dx.doi.org/10.23943/princeton/9780691137285.003.0014
